numerical_notes_text,numerical_notes_summary,raga
"[0, 0, 0, 0, 1, 1, 3, 3, 3, 6, 6, 6, 7, 2, 8, 8, 8, 10, 10, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 3, 6, 7, 8, 10, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 3, 7, 8, 7, 6, 6, 6, 3, 10, 3, 1, 1, 1, 0, 0, 0, 0, 0, 4, 0, 11, 11, 11, 11]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 7, 7, 7, 6, 6, 6, 3, 3, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 7, 7, 7, 6, 6, 6, 3, 3, 3, 8, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 11]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 7, 7, 7, 6, 6, 6, 3, 10, 3, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 10, 10, 10, 8, 8, 8, 2, 2, 7, 6, 6, 6, 3, 3, 3, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 8, 7, 6, 3, 1, 0]",Bhavapriya
"[0, 0, 0, 3, 10, 7, 7, 7, 8, 8, 8, 10, 10, 10, 0, 0, 0, 10, 10, 10, 10, 7, 7, 7, 7, 7, 7, 7, 11, 11, 11]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 3, 10, 7, 7, 7, 8, 8, 8, 5, 10, 10, 0, 10, 0, 10, 10, 10, 7, 7, 7, 7, 7, 2, 7, 7, 0, 0, 0]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 3, 3, 3, 7, 7, 8, 7, 8, 10, 10, 10, 0, 0, 0, 10, 10, 10, 7, 7, 7, 7, 7, 0, 0, 0, 11, 11, 11]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
"[0, 0, 0, 3, 3, 7, 2, 2, 8, 8, 8, 10, 10, 10, 0, 0, 0, 5, 10, 10, 7, 7, 7, 7, 7, 7, 7, 0, 11, 11, 11]","[0, 3, 7, 8, 10, 0, 10, 7]",Bhavapriya
